,c_code_1,state_name_abb_a,year,num_conflicts,avg_with,avg_against,avg_cum_duration,num_wars,origin_participant_pct,ongoing_2010,revision_pct,avg_hostility_level,revision_type_mode,state_fatality_bin_mode,outcome_mode,settlement_type_mode
166,245,BAV,1850,1,1.0,6.0,0.136986301369863,0,0.0,0.0,0.0,4.0,N/A,,Compromise,Negotiated
167,220,FRN,1850,1,1.0,6.0,0.06027397260273973,0,0.0,0.0,0.0,3.0,N/A,None Value,Compromise,Negotiated
168,150,PAR,1850,2,1.0,1.0,0.10273972602739725,0,1.0,0.0,0.5,4.0,['N/A' 'Policy'],None Value,['N/A' 'Victory for State A'],['N/A' 'None Value']
169,255,GMY,1850,6,1.0,6.0,0.13013698630136986,0,1.0,0.0,1.0,3.0,Policy,,Compromise,Negotiated
170,230,SPN,1850,1,1.0,1.0,0.5863013698630137,0,1.0,0.0,1.0,4.0,Policy,None Value,Stalemate,Negotiated
171,2,USA,1850,2,1.0,1.0,0.3767123287671233,0,1.0,0.0,0.5,2.5,['N/A' 'Policy'],None Value,['N/A' 'Stalemate'],['N/A' 'Negotiated']
172,365,RUS,1850,1,1.0,6.0,0.09041095890410959,0,0.0,0.0,0.0,3.0,N/A,None Value,Compromise,Negotiated
173,350,GRC,1850,1,1.0,1.0,0.27671232876712326,0,1.0,0.0,0.0,1.0,N/A,None Value,Yield by for State A,Negotiated
174,140,BRA,1851,2,1.0,1.0,1.5863013698630137,1,1.0,0.0,0.0,4.5,N/A,None Value,N/A,N/A
175,70,MEX,1851,1,1.0,1.0,0.23835616438356164,0,1.0,0.0,0.0,1.0,N/A,None Value,Yield by for State A,None Value
176,200,UKG,1851,1,1.0,1.0,2.419178082191781,0,1.0,0.0,1.0,4.0,Policy,None Value,N/A,N/A
177,160,ARG,1851,2,1.0,1.0,0.46301369863013697,1,1.0,0.0,0.5,4.5,['N/A' 'Territory'],None Value,['N/A' 'Yield by State B'],['N/A' 'None Value']
178,150,PAR,1851,1,1.0,1.0,0.1726027397260274,0,1.0,0.0,1.0,4.0,Policy,None Value,Yield by for State A,None Value
179,2,USA,1851,1,1.0,1.0,0.23835616438356164,0,1.0,0.0,1.0,2.0,Policy,None Value,Yield by State B,None Value
180,155,CHL,1852,2,2.0,1.5,0.08493150684931507,0,0.0,0.0,0.0,2.5,N/A,None Value,['Compromise' 'Stalemate'],['Negotiated' 'None Value']
181,200,UKG,1852,1,1.0,1.0,2.9205479452054797,0,1.0,0.0,1.0,4.0,Policy,,Victory for State A,Imposed
182,140,BRA,1852,2,1.0,1.0,1.884931506849315,1,1.0,0.0,0.0,4.5,N/A,251-500,['Victory for State A' 'Victory for State B'],Imposed
183,101,VEN,1852,1,2.0,2.0,0.16712328767123288,0,0.0,0.0,1.0,3.0,Other,None Value,Compromise,Negotiated
184,160,ARG,1852,1,1.0,1.0,0.8493150684931506,1,1.0,0.0,1.0,5.0,Territory,501-999,Victory for State B,Imposed
185,100,COL,1852,2,2.0,1.5,0.3589041095890411,0,1.0,0.0,0.5,2.5,['N/A' 'Other'],None Value,['Compromise' 'Stalemate'],['Negotiated' 'None Value']
186,640,TUR,1852,1,1.0,1.0,0.2493150684931507,0,1.0,0.0,0.0,1.0,N/A,None Value,Yield by for State A,None Value
187,220,FRN,1852,1,1.0,1.0,0.2493150684931507,0,1.0,0.0,1.0,3.0,Policy,None Value,Yield by State B,None Value
188,2,USA,1852,1,1.0,1.0,0.16712328767123288,0,1.0,0.0,1.0,3.0,Territory,None Value,Yield by for State A,None Value
189,135,PER,1852,4,1.75,1.25,0.2219178082191781,0,1.0,0.0,0.5,1.0,['N/A' 'Regime/Government'],None Value,Stalemate,None Value
