,cow_code,state_name,year,num_trade_states,export_dollars,import_dollars,military_expenditure,military_personnel,prim_energy_consumption,total_pop,cinc_score,num_alliances,pre_1816_alliances,num_in_effect_1231_2012,defense_treaties,neutrality_treaties,nonaggression_treaties,entente_treaties,num_conflicts,avg_cum_duration,num_wars,ongoing_2010,revision_pct,avg_hostility_level,num_leadership_changes,leader_tenure,age_govt,num_transitions_ever,export_import_ratio,Africa,Americas,Asia,Europe,Oceania,Direct election,Indirect election,Nonelective,Elective legislature,No legislature exists,Non‐elective legislature,Appointed,Closed,Elected,All parties legally banned,Legally single party state,Multiple parties legally allowed,Elective legislature,No legislature exists,Non‐elective legislature,Multiple parties,No parties,One party,Legislature with multiple parties,No legislature or all nonpartisan,Only members from regime party,Democratic incumbent,Rules rewritten unconstitutionally,collective_leadership,military_leader,royal_leader,nominal_vs_eff_diff,communist_leader,leader_died,democratic_regime,cabinet_assembly,popular_election,Civilian dictatorship,Military dictatorship,Mixed (semi‐presidential) democracy,Parliamentary democracy,Presidential democracy,Royal dictatorship,transition_to_democracy,transition_to_dictatorship
37,365,Russia,1946,65.0,11500000.0,10200000.0,8764724000.0,2500000.0,359564000000.0,174000000.0,0.1225411,10.0,0.0,0.0,9.0,2.0,1.0,4.0,5.0,0.473972602739726,0.0,0.0,0.8,3.2,0,25,31.0,0,1.1274509803921569,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
38,375,Finland,1946,65.0,417500000.0,517680000.0,106038000.0,42000.0,3026000000.0,3900000.0,0.0016382999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,3.0,0,0.8064827692783186,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
39,345,Yugoslavia,1946,65.0,263500000.0,258950000.0,301243000.0,159000.0,7904000000.0,15186000.0,0.0053408,4.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,0.03287671232876712,0.0,0.0,0.0,4.0,0,7,17.0,1,1.017570959644719,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
40,380,Sweden,1946,65.0,1128600000.0,1069880000.0,227619000.0,28000.0,16650000000.0,6720000.0,0.0059234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,29.0,0,1.0548846599618649,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
41,385,Norway,1946,65.0,652500000.0,400240000.0,125392000.0,33000.0,7486000000.0,3107000.0,0.0016512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,62.0,0,1.6302718368978613,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
42,339,Albania,1946,65.0,300000.0,100000.0,11946000.0,60000.0,402000000.0,1138000.0,0.0007928999999999999,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.6698630136986301,0.0,0.0,0.0,4.0,0,3,35.0,0,3.0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
43,390,Denmark,1946,65.0,616200000.0,484590000.0,52389000.0,14000.0,14392000000.0,4100000.0,0.0021046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,46.0,0,1.2715904166408716,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
44,395,Iceland,1946,65.0,67200000.0,42760000.0,0.0,0.0,24000000.0,132000.0,1.58e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3,3.0,0,1.5715622076707203,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
45,325,Italy,1946,65.0,1407200000.0,1044230000.0,213807000.0,260000.0,18536000000.0,45380000.0,0.01829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,1.0,1,1.3475958361663618,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
46,315,Czechoslovakia,1946,65.0,763920000.0,650950000.0,379912000.0,250000.0,53190000000.0,12920000.0,0.0110354,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,1,1.17354635532683,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
47,310,Hungary,1946,65.0,10200000.0,11500000.0,105863000.0,18000.0,10648000000.0,9042000.0,0.0035614000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,2.0,0,0.8869565217391304,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
48,450,Liberia,1946,65.0,1000000.0,63400000.0,2000000.0,5000.0,2000000.0,664000.0,0.0001518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3,77.0,0,0.015772870662460567,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,290,Poland,1946,65.0,509510000.0,504050000.0,2638901000.0,132000.0,97230000000.0,23958000.0,0.0172908,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2.0,1,1.0108322587044936,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
50,235,Portugal,1946,65.0,323500000.0,134240000.0,48569000.0,73000.0,3156000000.0,8120000.0,0.0024149,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,15,15.0,1,2.4098629320619787,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,230,Spain,1946,65.0,355200000.0,160000000.0,132662000.0,462000.0,25676000000.0,27020000.0,0.015372,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,8,10.0,1,2.22,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,150,Paraguay,1946,65.0,24050000.0,25830000.0,3425000.0,4000.0,6000000.0,1280000.0,0.0003389,20.0,0.0,1.0,19.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0,7,11.0,0,0.9310878823073945,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
