,dispute_id,c_code_1,state_name_abb_a,c_code_2,state_name_abb_b,year,outcome,settlement_type,total_fatality_bin,num_with,num_against,revision_sought,revision_type,state_fatality_bin,hostility_level,origin_participant,war,year_num,cumulative_duration,ongoing_2010,date_start,date_end,initiator
3636,26,200,UKG,365,RUS,1949,Stalemate,None Value,None Value,1,3,0,N/A,None Value,4,1,0,2,493,0,1948-03-21,1949-07-25,0.0
3637,26,365,RUS,220,FRN,1949,Stalemate,None Value,None Value,1,3,1,Territory,None Value,4,1,0,2,493,0,1948-03-21,1949-07-25,1.0
3638,3229,663,JOR,666,ISR,1949,Stalemate,None Value,1-25,1,2,1,Territory,1-25,4,0,0,1,87,0,1949-01-08,1949-04-04,0.0
3639,1603,660,LEB,652,SYR,1949,Stalemate,None Value,None Value,1,1,0,N/A,None Value,4,1,0,1,88,0,1949-05-19,1949-08-14,0.0
3640,1793,666,ISR,651,EGY,1949,N/A,N/A,"1,000+",5,1,0,N/A,"1,000+",5,1,1,2,240,0,1948-05-14,1949-01-07,0.0
3641,1793,651,EGY,666,ISR,1949,Victory for State B,Negotiated,"1,000+",5,1,1,Territory,"1,000+",5,1,1,2,240,0,1948-05-14,1949-01-07,1.0
3642,2006,2,USA,713,TAW,1949,N/A,N/A,None Value,1,1,0,N/A,None Value,1,1,0,1,91,0,1949-10-02,1950-02-27,0.0
3643,2007,713,TAW,200,UKG,1949,Released (for seizures),None Value,None Value,1,1,0,N/A,None Value,4,1,0,1,30,0,1949-10-18,1949-11-16,1.0
3644,2007,200,UKG,713,TAW,1949,Released (for seizures),None Value,None Value,1,1,0,N/A,None Value,2,1,0,1,30,0,1949-10-18,1949-11-16,0.0
3645,1307,700,AFG,770,PAK,1949,Stalemate,None Value,None Value,1,1,1,Territory,None Value,4,1,0,1,122,0,1949-03-01,1949-06-30,1.0
3646,1307,770,PAK,700,AFG,1949,Stalemate,None Value,None Value,1,1,0,N/A,None Value,4,1,0,1,122,0,1949-03-01,1949-06-30,0.0
3647,634,710,CHN,2,USA,1949,N/A,N/A,None Value,1,1,0,N/A,None Value,4,1,0,1,92,0,1949-10-01,1950-01-24,1.0
3648,2006,713,TAW,2,USA,1949,N/A,N/A,None Value,1,1,0,N/A,None Value,4,1,0,1,91,0,1949-10-02,1950-02-27,1.0
3649,1286,365,RUS,345,YUG,1949,N/A,N/A,None Value,4,2,1,Policy,None Value,3,1,0,1,141,0,1949-08-13,1951-11-24,1.0
3650,3229,666,ISR,663,JOR,1949,Stalemate,None Value,1-25,1,2,0,N/A,1-25,4,1,0,1,87,0,1949-01-08,1949-04-04,1.0
3651,1286,345,YUG,365,RUS,1949,N/A,N/A,None Value,4,2,0,N/A,None Value,4,1,0,1,141,0,1949-08-13,1951-11-24,0.0
3652,1603,652,SYR,660,LEB,1949,Stalemate,None Value,None Value,1,1,1,Policy,None Value,4,1,0,1,88,0,1949-05-19,1949-08-14,1.0
3653,2021,220,FRN,710,CHN,1949,Stalemate,None Value,None Value,1,1,0,N/A,None Value,4,1,0,1,1,0,1949-12-14,1949-12-14,1.0
