,c_code_1,state_name_1,year,num_trade_states,export_dollars,import_dollars,military_expenditure,military_personnel,iron_steel_prod,prim_energy_consumption,total_pop,urban_pop,cinc_score,num_alliances,pre_1816_alliances,num_in_effect_1231_2012,defense_treaties,neutrality_treaties,nonaggression_treaties,entente_treaties,num_conflicts,avg_with,avg_against,avg_cum_duration,num_wars,origin_participant_pct,ongoing_2010,revision_pct,revision_type_mode,state_fatality_bin_mode,outcome_mode,settlement_type_mode,highest_mca_mode,highest_hostility_mode,total_protestant,total_catholic,total_christian,total_jewish,total_sunni,total_shia,total_islam,total_buddhist,total_hindu,total_sikh,total_shinto,total_non_religious,territory_change,territory_change_year,election_type,legislation_type,legislature_status,party_legal_status,party_existance,party_existance_outside_regime,legislature_parties,incumbent_type,collective_leadership,num_leadership_changes,leader_tenure,military_leader,royal_leader,nominal_vs_eff_diff,communist_leader,leader_died,democratic_regime,cabinet_assembly,popular_election,regime_type,transition_democracy,transition_dictatorship,age_govt,num_transitions_ever
30,640,Turkey,1946,65.0,473400000.0,133930000.0,278779000.0,689000.0,160000000.0,5494000000.0,19074000.0,1435000.0,0.0114336,4.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,2.0,0.8383561643835616,0.0,1.0,0.0,0.0,0,0,5,3,12,3,5390.9,21244.1,206068.4,73491.3,18801400.0,0.0,18801400.0,0.0,0.0,0.0,0.0,531.9,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,24.0,0.0
31,663,Jordan,1946,65.0,60633333.33333333,760000.0,6385000.0,8000.0,0.0,4000000.0,1086000.0,73000.0,0.0002177,7.0,0.0,4.0,0.0,0.0,6.0,7.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,0.0,4948.0,56444.0,0.0,1005786.0,0.0,1005786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0
32,315,Czechoslovakia,1946,65.0,1768360000.0,1328210000.0,379912000.0,250000.0,3354000000.0,53190000000.0,12920000.0,1657000.0,0.0110354,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,1169488.0,9240000.0,10508870.0,48250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3230404.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0
33,94,Costa Rica,1946,65.0,41100000.0,35730000.0,1174000.0,1000.0,0.0,36000000.0,710000.0,80000.0,9.37e-05,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,0.0,698600.0,698600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,28.0,1.0
34,230,Spain,1946,65.0,14.4,160000000.0,132662000.0,462000.0,1282000000.0,25676000000.0,27020000.0,6164000.0,0.015372,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,26794.0,26584991.2,26626789.8,9327.0,0.0,0.0,5878.8,0.0,0.0,0.0,0.0,54075.6,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,1.0
35,712,Mongolia,1946,65.0,-400000.0,-650000.0,34249500.0,7000.0,0.0,36000000.0,757000.0,82000.0,0.00012930000000000003,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,0.0,49.0,1786.8,0.0,0.0,0.0,6822.4,66464.2,0.0,0.0,0.0,344247.2,0.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,26.0,0.0
36,93,Nicaragua,1946,65.0,34320000.0,31820000.0,20842000.0,3000.0,0.0,14000000.0,949000.0,85000.0,0.000165,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,39219.2,901474.4,940693.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0
37,710,China,1946,65.0,871800000.0,371400000.0,789300000.0,4158000.0,120000000.0,33776000000.0,553269000.0,28901000.0,0.1327105,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5780821917808219,0.0,1.0,0.0,0.0,0,0,8,4,1,1,280047.8,228291.8,527047.6,935.2,0.0,0.0,24025116.2,48907104.8,9972.0,4673.8,0.0,35990620.8,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,34.0,0.0
38,95,Panama,1946,65.0,67980000.0,16940000.0,-7000000.0,3000.0,0.0,16000000.0,721000.0,3000.0,9.76e-05,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,43680.0,674040.0,717720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,44.0,0.0
39,235,Portugal,1946,65.0,438900000.0,194120000.0,48569000.0,73000.0,2000000.0,3156000000.0,8120000.0,1036000.0,0.0024149,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,21882.8,7872483.4,8048898.4,934.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71077.6,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,15.0,1.0
40,225,Switzerland,1946,65.0,1369200000.0,831750000.0,90684000.0,29000.0,68000000.0,6676000000.0,4467000.0,910000.0,0.0017784000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,2316012.0,2110200.0,4437564.6,19040.0,0.0,0.0,1772.2,0.0,0.0,0.0,0.0,9877.8,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,77.0,0.0
